Position-Anforderungsspezifikation,ReqID,Komponente,Schablone,Variante,Gruppe,Tag,Stakeholder,Gruppe (ALT),Tag (ALT),Anforderung,Trace auf ReqID,Anmerkung,Status,Aktuell / Zukunft / Ignore,Release,Req-Key (ALT)
1.3 Stakeholder,110,HARMONY,Glossar,,Anwenderverwaltung,Stakeholder,Anonymer Benutzer,Benutzer verwalten,Anonymer Benutzer,"Anonymer Benutzer (Synonym: Anonymer Anwender oder Unbekannter Benutzer) bedeutet im System HARMONY eine Person, die nicht mit einem Anwenderkonto angemeldet und identifiziert ist.",,,Umgesetzt,A,1,G-10
1.3 Stakeholder,103,HARMONY,Glossar,,Anwenderverwaltung,Stakeholder,Anwender,Benutzer verwalten,Anwender,"Anwender (Synonym: Benutzer) (engl. User) bedeutet im System HARMONY eine Person, die Zugriff auf das System hat und dieses zur Anforderungserfassung und -prüfung nach Schablonensätzen nutzt.",,,Umgesetzt,A,1,G-3
1.3 Stakeholder,216,HARMONY,Glossar,,Schablonenverwaltung,Stakeholder,Administrator für Organisationen,Schablonen verwalten,Administrator für Organisationen,"Organisationsadministrator (Synonym: Administrator für eine Organisation) bedeutet im System HARMONY ein Anwender, der eine Organisation verwalten kann.",,,Umgesetzt,A,1,G-38
1.3 Stakeholder,217,HARMONY,Glossar,F,Schablonenverwaltung,Stakeholder,Schablonenverwalter,Schablonen verwalten,Schablonenverwalter,"Schablonenverwalter bedeutet im System HARMONY ein Benutzer, der Schablonen und Schablonensätze verwalten kann.",,,Umgesetzt,A,1,G-39
1.3 Stakeholder,314,"HARMONY, EIFFEL",Glossar,,Wartbarkeit,Stakeholder,Dritte Partei,Wartbarkeit,Dritte Partei,"Dritte Partei bedeutet im System HARMONY eine Person, die nicht an der Entwicklung des Systems beteiligt ist und dessen Programmcode oder Dienst als Abhängigkeit im System HARMONY verwendet wird.","310, 255",,Umgesetzt,A,1,G-52
2.1. System-Vision und Ziele,374,EIFFEL,Ziel,,Systemziel,Anforderung prüfen,Anwender,Systemziel,Schablonen prüfbar machen,"Es muss ein Ziel des Systems EIFFEL sein, Anforderungen nach Schablonen prüfbar zu machen, weil sich Schablonen maschinell prüfen lassen und es Anwendern die Benutzung erleichtert.",,,Umgesetzt,A,1,F-2
2.1. System-Vision und Ziele,376,EIFFEL,Ziel,,Systemziel,Benutzerfreundlichkeit,Anwender,Systemziel,Benutzerfreundlich,"Es muss ein Ziel des Systems EIFFEL sein, benutzerfreundlich zu sein, damit Anwender das System schnell verstehen und erfolgreich für die Anforderungserfassung verwenden können.",,,Umgesetzt,A,1,F-4
2.1. System-Vision und Ziele,375,EIFFEL,Ziel,,Systemziel,Keine EBNF verwenden,Schablonenverwalter,Systemziel,Keine EBNF Implementation,"Es muss kein Ziel des Systems EIFFEL sein, PARIS-Schablonen exakt nach formaler EBNF-Definition prüfbar zu machen, weil EBT-Schablonen einfach zu erstellen, modifizieren und verstehen sein sollen.",,"Es könnte zukünftig bspw. ein EEBT (EBNF EIFFEL Basic Template) Schablonen-Typ implementiert werden, der es erlaubt 1 zu 1 EBNF Definitionen formal zu prüfen. Hier könnte jedoch das Generieren des Eingabeformulars schwierig werden, dafür fehlen im EBNF einfach Informationen.
Vielleicht lassen sich EBT und EEBT aber sogar kombinieren: EBT definiert, wie das Eingabeformular aussehen soll und wie die Prüfung im ersten Schritt geschieht, anschließend wird ein EEBT genutzt, um formal zu prüfen, ob die Anforderung tatsächlich korrekt ist.

Was ich mir auch vorstellen könnte: Eine Art Skriptsprache (EST (EIFFEL Script Template)), die formale Definitionen für das Eingabeformular und die Prüfung per Befehlsfolge ermöglicht:
(VALIDATE) RULE ""Bedingung"" HINT ""Unter welcher Bedingung wird etwas getan?"" DISPLAY SIZE full",Umgesetzt,A,1,F-3
2.1. System-Vision und Ziele,380,EIFFEL,Ziel,,Systemziel,Schablone konfigurieren,Anwender,Systemziel,Einfache Schablonen,"Es muss ein Ziel des Systems EIFFEL sein, eine einfache Schablonendefinition zu unterstützen, damit Anwender Schablonen selbst erstellen und anpassen können.",,,Umgesetzt,A,1,F-8
2.1. System-Vision und Ziele,381,EIFFEL,Ziel,,Systemziel,Schablone konfigurieren,Anwender,Systemziel,Einfache Konfiguration von Schablonen,"Wenn das System EIFFEL weiterentwickelt wird, wird es ein Ziel des Systems EIFFEL sein, die Konfiguration von Schablonen zu vereinfachen, damit auch Anwender ohne technische Kenntnisse mit geringem Aufwand Schablonen pflegen können.",,"Diesen Punkt hatte ich zuvor schon mal angebracht. Hier meine ich einen einfachen Konfigurationsprozess, in dem der Anwender sich die Elemente der Schablone zusammenklicken kann.",Fertig zur Umsetzung,Z,,F-9
2.1. System-Vision und Ziele,377,HARMONY,Ziel,,Systemziel,Anpassungsfähigkeit,Anwender,Systemziel,Anforderungsmanagement,"Es wird ein Ziel des System HARMONY sein, den Anwender im Anforderungsmanagement zu unterstützen, weil die Anforderungserfassung nur ein kleiner Teil des Requirements Engineering ist.",,,Fertig zur Umsetzung,A,,F-5
2.1. System-Vision und Ziele,378,HARMONY,Ziel,,Systemziel,Barrierefreiheit,Entwickler,Systemziel,Übersetzbarkeit,"Es muss ein Ziel des Systems HARMONY sein, in andere Sprachen übersetzbar zu sein, damit das System auch im nicht-deutschsprachigen Raum Verbreitung finden kann.",,,Umgesetzt,A,1,F-6
2.1. System-Vision und Ziele,379,HARMONY,Ziel,,Systemziel,Erweiterbarkeit,Entwickler,Systemziel,Erweiterbarkeit,"Es muss ein Ziel des Systems HARMONY sein, erweiterbar zu sein, damit das System zukünftig um weitere Fähigkeiten aus dem Bereich des Requirements Engineering erweitert werden kann.",,"Aber auch, um die Beteiligung von außenstehenden zu ermöglichen, damit diese die Anwendung an ihre spezifischen Wünsche anpassen können.",Umgesetzt,A,1,F-7
2.1. System-Vision und Ziele,420,HARMONY,Ziel,,Systemziel,Smartphone als Endgerät,Anwender,Systemziel,Keine Unterstützung mobiler Geräte,"Es muss kein Ziel des Systems HARMONY sein, dass es auf einem Smartphone benutzt werden kann, weil bei diesen Geräten das Display zu klein ist.",,,Umgesetzt,A,1,F-10
2.1. System-Vision und Ziele,373,"HARMONY, EIFFEL",Ziel,,Projektziel,Anforderung eingeben,Anwender,Projektziel,Anforderungserfassung vereinfachen,"Es muss ein Ziel des Projekts HARMONY & EIFFEL sein, die Anforderungserfassung mit Schablonen zu unterstützen, damit die Benutzung von Schablonen einfacher wird.",,,Umgesetzt,A,1,F-1
2.2 Systemkontext und –grenze,400,EIFFEL,Kontext,,Systemkontext,Anpassungsfähigkeit,Anwender,Systemkontext,Anpassungsfähigkeit/Interdisziplinär,"Das System EIFFEL muss als relevant betrachten, dass die Anforderungserfassung häufig interdisziplinär ist und dass projekt- bzw. unternehmensspezifische Wünsche zu beachten sind, damit das System EIFFEL anpassungsfähig ist.",,,Umgesetzt,A,1,D-19
2.2 Systemkontext und –grenze,387,EIFFEL,Kontext,,Systemkontext,EIFFEL weiterentwickeln,Studierende,Systemkontext,Weiterentwicklung durch Abschlussarbeiten,"Das System EIFFEL muss als relevant betrachten, dass das System im Rahmen von Abschlussarbeiten weiterentwickelt werden soll.",,,Umgesetzt,A,1,D-6
2.2 Systemkontext und –grenze,394,HARMONY,Kontext,,Systemkontext,Anforderung eingeben,Anwender,Systemkontext,Zugriffszeiten,"Das System HARMONY muss als relevant betrachten, dass langsame Zugriffszeiten und lange Wartezeiten die Anforderungserfassung stören können.",,,Umgesetzt,A,1,D-13
2.2 Systemkontext und –grenze,392,HARMONY,Kontext,,Systemkontext,Anforderung eingeben,IT-Security,Systemkontext,Sichere Speicherung Anforderungen,"Das System HARMONY muss als relevant betrachten, dass Anforderungen zum Teil unternehmenskritisch sind, damit Maßnahmen zur sicheren Speicherung ergriffen werden können.",,,Umgesetzt,A,1,D-11
2.2 Systemkontext und –grenze,397,HARMONY,Kontext,,Systemkontext,Barrierefreiheit,Anwender,Systemkontext,Barrierefreiheit,"Das System HARMONY sollte als relevant betrachten, dass nicht alle Anwender die gleichen Fähigkeiten besitzen, damit das System barrierefrei und einfach zu erlernen ist.",,,Umgesetzt,A,1,D-16
2.2 Systemkontext und –grenze,439,HARMONY,Kontext,,Systemkontext,Barrierefreiheit,Anwender,Systemkontext,Farbenblindheit von Anwendern,"Das System HARMONY muss als relevant betrachten, dass Anwender unter Farbenblindheit oder einer Rot-Grün-Schwäche leiden können.",,"Folge: Bei der Erfassung der Schablonen werden Pflichtfelder und optionale Eingaben nicht durch Farbe, sondern durch halbfette Schrift und Unterstreichung dargestellt.",Umgesetzt,A,1,D-34
2.2 Systemkontext und –grenze,440,HARMONY,Kontext,,Systemkontext,Datenbank anbinden,Anwender,Systemkontext,Datensparsamkeit,"Das System HARMONY muss als relevant betrachten, dass Anwender eine gehostete Lösung nur akzeptieren werden, wenn diese datensparsam arbeitet.",,"Folge: Die erfassten Anforderungen werden nicht auf dem Server gespeichert, sondern nur lokal im Browser.",Umgesetzt,A,1,D-35
2.2 Systemkontext und –grenze,388,HARMONY,Kontext,,Systemkontext,HARMONY betreiben,Anwender,Systemkontext,Keine Installation,"Das System HARMONY muss als relevant betrachten, dass Anwender keine Administratorrechte auf ihrem Computer haben, weil die Anwender dadurch gegebenenfalls keine Anwendung auf dem Gerät installieren können.",,"Kann es sein, dass es im Foliensatz des Seminars kein Beispiel einer Kontext-Anforderung mit Bedingung gibt?",Umgesetzt,A,1,D-7
2.2 Systemkontext und –grenze,391,HARMONY,Kontext,,Systemkontext,HARMONY betreiben,Anwender,Systemkontext,Betriebssyteme,"Das System HARMONY muss als relevant betrachten, dass Anwender von unterschiedlichen Geräten mit uneinheitlichen Betriebssystemen auf die Anwendung zugreifen werden.",,,Umgesetzt,A,1,D-10
2.2 Systemkontext und –grenze,390,HARMONY,Kontext,,Systemkontext,HARMONY weiterentwickeln,Anwender,Systemkontext,Weiterentwicklung bzgl. Anforderungsmanagement,"Das System HARMONY muss als relevant betrachten, dass das Requirements Engineering nicht mit dem Formulieren von Anforderungen endet, weil Anwender deshalb eine gute Integration in ihren bestehenden Arbeitsfluss erwarten und die Weiterentwicklung der Anwendung den Anwender im Anforderungsmanagement unterstützen kann.",,,Umgesetzt,A,1,D-9
2.2 Systemkontext und –grenze,386,HARMONY,Kontext,,Systemkontext,HARMONY weiterentwickeln,Studierende,Systemkontext,Weiterentwicklung durch Abschlussarbeiten,"Das System HARMONY muss als relevant betrachten, dass das System im Rahmen von Abschlussarbeiten weiterentwickelt werden soll.",,,Umgesetzt,A,1,D-5
2.2 Systemkontext und –grenze,389,HARMONY,Kontext,,Systemkontext,Hinweis über HARMONY,Seminarteilnehmer,Systemkontext,Schulungszwecke,"Das System HARMONY muss als relevant betrachten, dass das System im Rahmen von Seminaren und zu Schulungszwecken genutzt werden muss.",,,Umgesetzt,A,1,D-8
2.2 Systemkontext und –grenze,396,HARMONY,Kontext,,Systemkontext,Integration mit anderen Lösungen,Anwender,Systemkontext,Integration mit PM-Lösungen,"Wenn das System HARMONY Funktionalitäten zum Anforderungsmanagement implementiert und sich besser in das Projektmanagement integrieren soll, wird das System HARMONY als relevant betrachten, dass eine Anbindung des Systems HARMONY an Projektmanagement-Lösungen (z.B. JIRA oder Trello) gewünscht wird, damit Schnittstellen zur Datenübertragung bereitgestellt und genutzt werden können.",,,Fertig zur Umsetzung,Z,,D-15
2.2 Systemkontext und –grenze,399,HARMONY,Kontext,,Systemkontext,KI verwenden,Anwender,Systemkontext,KI,"Das System HARMONY wird als relevant betrachten, dass sich natürlichsprachige Anforderungen mit Hilfe von künstlicher Intelligenz verarbeiten lassen, damit z.B. automatisches Tracing implementiert und sprachliche Verbesserungen vorgeschlagen werden können.",,,Fertig zur Umsetzung,Z,,D-18
2.2 Systemkontext und –grenze,395,HARMONY,Kontext,,Systemkontext,Kollaboration,Anwender,Systemkontext,Kollaboration,"Das System HARMONY wird als relevant betrachten, dass im Anforderungsmanagement die Kollaboration zwischen Personen häufig eine große Rolle spielt.",,,Fertig zur Umsetzung,Z,,D-14
2.2 Systemkontext und –grenze,393,HARMONY,Kontext,,Systemkontext,Schablone konfigurieren,IT-Security,Systemkontext,Sichere Speicherung Schablonen,"Das System HARMONY muss als relevant betrachten, dass Schablonen zum Teil organisationsinterne Informationen enthalten, damit Maßnahmen zur sicheren Speicherung von Schablonen ergriffen werden können.",,,Umgesetzt,A,1,D-12
2.2 Systemkontext und –grenze,398,HARMONY,Kontext,,Systemkontext,Tracing,Anwender,Systemkontext,Tracing,"Das System HARMONY wird als relevant betrachten, dass sich Anforderungen nach der Erfassung noch häufig ändern können, damit Tracing-Funktionalitäten berücksichtigt werden.",,,Fertig zur Umsetzung,Z,,D-17
2.5 System-Funktionalität,431,HARMONY,Stakeholderanforderung,,Betrieb,HARMONY betreiben,HARMONY-Betreuer,Hoster,Anforderungen an Betrieb bekannt,"Der HARMONY-Betreuer fordert, dass ihm alle Anforderungen für den Betrieb von HARMONY bekannt sind, damit er einen passenden Hoster auswählen kann.",,,Umgesetzt,A,1,B-3-3
2.5 System-Funktionalität,340,HARMONY,Stakeholderanforderung,,Portierbarkeit,Benutzung Browser,Anwendungsbetreiber,Portierbarkeit,Verwendung ohne Installation,"Der Anwender fordert, dass er die Anwendung ohne die Installation eines Programmes aus dem Browser heraus verwenden kann, weil der Anwender keine Administratorrechte auf seinem Computer hat.",,,Umgesetzt,A,1,D-4
